lat_long
"32.742553,-117.031417"
"36.300783,-119.782911"
"38.891564,-121.293008"
"36.203006,-119.088161"
"36.983561,-121.980517"
"37.681875,-121.768008"
"37.386883,-120.723533"
"38.134147,-121.272219"
"34.048347,-117.261153"
"33.792239,-118.315072"
"34.63915,-120.457942"
"33.768322,-118.195617"
"33.803072,-118.072564"
"33.796331,-118.118119"
"34.052233,-118.243686"
"37.058278,-120.849914"
"39.676294,-120.241039"
"33.930292,-118.211461"
"36.961336,-120.060717"
"34.005008,-118.810172"
"33.884736,-118.410908"
"37.797428,-121.216053"
"35.058858,-119.40095"
"36.684403,-121.802172"
"38.019367,-122.134133"
"39.145725,-121.591356"
"33.986681,-118.18535"
"35.678011,-119.229275"
"36.753561,-120.381558"
"33.678333,-117.166944"
"37.453828,-122.182186"
"37.302164,-120.482967"
"37.906036,-122.544975"
"37.598547,-122.387194"
"37.428272,-121.906625"
"33.600022,-117.671994"
"37.639097,-120.996878"
"34.144428,-118.001947"
"41.728197,-122.5278"
"34.077511,-117.689778"
"37.236333,-121.992458"
"34.016506,-118.113753"
"36.600239,-121.894675"
"34.062511,-118.122847"
"34.144897,-118.268742"
"33.942467,-117.229672"
"37.1305,-121.654389"
"35.365808,-120.8499"
"41.410806,-122.194575"
"37.386053,-122.08385"
"33.553914,-117.213922"
"38.297539,-122.286864"
"32.678108,-117.099197"
"34.848061,-114.614133"
"39.261561,-121.016058"
"37.529658,-122.040239"
"37.313828,-121.020761"
"33.618911,-117.928947"
"33.931125,-117.548661"
"33.902236,-118.081733"
"38.107419,-122.569703"
"37.766594,-120.847153"
"37.804364,-122.271114"
"37.997422,-121.712453"
"33.195869,-117.379483"
"34.44805,-119.242889"
"34.063344,-117.650889"
"33.787794,-117.853111"
"36.624394,-119.313731"
"37.877147,-122.179689"
"39.747381,-122.196375"
"39.513775,-121.556358"
"34.197506,-119.177053"
"36.617736,-121.916622"
"37.613825,-122.486919"
"33.722244,-116.374456"
"33.830297,-116.545292"
"34.579433,-118.116461"
"37.441883,-122.143019"
"33.800572,-118.390075"
"33.889461,-118.159792"
"36.611617,-119.527072"
"34.147786,-118.144517"
"35.632278,-120.664186"
"37.4716,-121.129656"
"33.782519,-117.228647"
"38.232417,-122.636653"
"33.983069,-118.096736"
"37.824372,-122.231636"
"38.004367,-122.298858"
"35.142753,-120.641283"
"38.027975,-121.884681"
"33.872236,-117.870336"
"38.729625,-120.798547"
"37.947978,-122.060797"
"37.662431,-121.874678"
"38.481853,-120.844658"
"38.908797,-123.693072"
"34.055228,-117.752306"
"34.180728,-119.208158"
"36.065231,-119.016767"
"39.810458,-120.469103"
"32.962822,-117.035864"
"38.589072,-121.302728"
"34.1064,-117.593108"
"33.739744,-116.412789"
"33.744461,-118.387017"
"33.640856,-117.603103"
"40.178489,-122.235831"
"40.586539,-122.391675"
"34.055569,-117.182539"
"33.849183,-118.388408"
"37.485214,-122.236356"
"36.596339,-119.450403"
"34.1064,-117.370325"
"37.935758,-122.34775"
"35.622456,-117.670897"
"40.4993,-124.106436"
"38.15575,-121.691344"
"37.739453,-121.135414"
"37.736039,-120.935489"
"33.95335,-117.396156"
"38.790733,-121.235783"
"38.339636,-122.701097"
"33.756961,-118.353961"
"33.787794,-118.358128"
"34.080564,-118.072847"
"38.752122,-121.288006"
"38.581572,-121.4944"
"36.677736,-121.6555"
"34.108344,-117.289764"
"37.630489,-122.411083"
"37.507158,-122.260522"
"33.426972,-117.611992"
"32.715328,-117.157256"
"34.106675,-117.806725"
"34.281947,-118.438972"
"37.774931,-122.419417"
"34.096111,-118.105833"
"33.783908,-116.958636"
"36.606617,-120.189044"
"37.339386,-121.894956"
"36.845511,-121.537997"
"33.501692,-117.66255"
"37.724931,-122.156078"
"35.282753,-120.659617"
"33.143372,-117.166144"
"34.121397,-118.106458"
"37.562992,-122.325525"
"37.962147,-122.345525"
"37.973536,-122.531086"
"37.779928,-121.978014"
"36.617183,-121.848286"
"36.708006,-119.555964"
"33.745572,-117.867833"
"34.420831,-119.698189"
"37.354108,-121.955236"
"34.391664,-118.542586"
"36.974117,-122.030797"
"33.947236,-118.085344"
"34.953033,-120.435719"
"34.019453,-118.491192"
"34.354167,-119.059269"
"38.440467,-122.714431"
"32.838383,-116.973917"
"37.263833,-122.023014"
"37.859094,-122.48525"
"37.051061,-122.014683"
"33.741406,-118.104786"
"33.819361,-118.366647"
"38.402136,-122.823881"
"36.570783,-119.612075"
"35.500514,-119.271775"
"40.680428,-122.370842"
"34.161672,-118.052847"
"33.804461,-118.167847"
"34.269447,-118.781483"
"32.991156,-117.271147"
"32.991156,-117.271147"
"34.595819,-120.137647"
"38.291858,-122.458036"
"37.984092,-120.382139"
"34.051956,-118.046733"
"33.954736,-118.212017"
"38.939925,-119.977186"
"34.116119,-118.15035"
"37.654656,-122.40775"
"38.505242,-122.470386"
"33.802517,-117.993117"
"37.957703,-121.290781"
"38.238247,-122.040244"
"37.368831,-122.03635"
"40.416283,-120.653006"
"38.392967,-120.802436"
"35.142467,-119.456508"
"35.132189,-118.448975"
"40.027103,-122.123322"
"33.493639,-117.148364"
"34.107231,-118.057847"
"34.107231,-118.057847"
"33.83585,-118.340628"
"37.73965,-121.425222"
"41.059292,-124.143125"
"36.207728,-119.347339"
"41.955989,-121.477492"
"37.494658,-120.846594"
"33.74585,-117.826167"
"34.135558,-116.054169"
"39.150172,-123.207783"
"37.593392,-122.043831"
"34.097511,-117.648389"
"38.356578,-121.987744"
"38.104086,-122.256636"
"34.274639,-119.229006"
"34.003903,-118.230072"
"34.536108,-117.291158"
"33.814461,-117.813111"
"36.330228,-119.292058"
"33.200036,-117.242536"
"34.020289,-117.865339"
"37.910078,-122.065183"
"35.594125,-119.340947"
"37.641319,-120.760483"
"36.910231,-121.756894"
"41.42265,-122.386128"
"34.068622,-117.938953"
"34.090008,-118.361744"
"38.580461,-121.530233"
"34.145839,-118.805647"
"33.751342,-117.993992"
"33.037267,-115.621383"
"39.009894,-121.423014"
"33.979178,-118.032844"
"33.598914,-117.280036"
"39.154614,-122.149419"
"39.409608,-123.355567"
"39.524325,-122.193592"
"38.524906,-121.970803"
"36.413561,-119.098717"
"38.678517,-121.773297"
"33.888625,-117.813111"
"41.735419,-122.634472"
"39.140447,-121.616911"
"34.033625,-117.043086"
